,YEAR,JOB_TITLE,BRANCH,JOB_LOCATION,LOC_STATE,LOC_REGION
35,2011,Embedded system engineer,ECE,Noida,Uttar Pradesh,North
36,2014,Manufacturing engineer,MEC,Shillong,Seven Sisters,East
37,2014,Web developer,CSE/IT,Shillong,Seven Sisters,East
38,2012,Management consultant,MEC,Visakhapatnam,Andhra Pradesh,South
39,2021,Systems engineer,EEE,Khammam,Telangana,South
40,2019,AI engineer,CSE/IT,Jaipur,Rajasthan,West
41,2012,Software developer,CSE/IT,Noida,Uttar Pradesh,North
42,2016,Substation technician,EEE,Guwahati,Seven Sisters,East
43,2016,Chemical plant director,CHEM,Patna,Bihar,Central
44,2011,Production engineer,MEC,Aizawal,Seven Sisters,East
45,2020,Automation engineer,MEC,Mysore,Karnataka,South
46,2019,Drafter,CIV,Bhopal,Madhya Pradesh,Central
47,2017,Environmental waste management,CHEM,Visakhapatnam,Andhra Pradesh,South
48,2012,Controls engineer,EEE,Raigarh,Chattisgarh,Central
49,2018,IT project manager,CSE/IT,Thiruvananthapuram,Kerala,South
50,2017,System architect,CSE/IT,Jodhpur,Rajasthan,West
51,2014,Environmental waste management,CHEM,Gaya,Bihar,Central
52,2017,App developer,CSE/IT,Patna,Bihar,Central
53,2012,Thermal engineer,MEC,Bhubaneswar,Orissa,Central
54,2020,Electrical project manager,EEE,Durgapur,West Bengal,East
55,2021,Plant process engineer,CHEM,Gandhinagar,Gujarat,West
56,2012,Telecom engineer,ECE,Raipur,Chattisgarh,Central
57,2014,Electrical engineer,EEE,Imphal,Seven Sisters,East
58,2018,Material engineer,CHEM,Jamshedpur,Jharkhnad,Central
59,2014,Electrical design engineer,EEE,Bilaspur,Himachal Pradesh,North
60,2015,Network planning engineer,ECE,Shillong,Seven Sisters,East
61,2014,Automation engineer,MEC,Bhopal,Madhya Pradesh,Central
62,2011,Architect,CIV,Bhubaneswar,Orissa,Central
63,2021,Process safety engineer,CHEM,Surat,Gujarat,West
64,2021,Electronics design engineer,ECE,Nagpur,Maharashtra,Central
65,2011,Telecommunication engineer,EEE,Noida,Uttar Pradesh,North
66,2014,Manufacturing engineer,MEC,Vadodara,Gujarat,West
67,2014,Manufacturing engineer,MEC,Rourkela,Orissa,Central
68,2014,Product engineer,CHEM,Guwahati,Seven Sisters,East
69,2015,Controls engineer,EEE,Kohina,Seven Sisters,East
70,2012,Telecom engineer,ECE,Nagpur,Maharashtra,Central
71,2015,Microelectrical engineer,EEE,Guwahati,Seven Sisters,East
72,2015,Petroleum engineer,CHEM,Warangal,Telangana,South
73,2015,Electrical engineer,EEE,Madurai,Tamil Nadu,South
74,2015,Electrical project manager,EEE,Thiruvananthapuram,Kerala,South
75,2021,Electronics engineer,ECE,Aizawal,Seven Sisters,East
76,2013,Telecommunication engineer,EEE,Chandigarh,Punjab,North
77,2018,Manufacturing engineer,MEC,Gwalior,Madhya Pradesh,Central
78,2017,Structural engineer,MEC,Madurai,Tamil Nadu,South
79,2015,Transportation engineer,CIV,Vellore,Tamil Nadu,South
80,2016,System architect,CSE/IT,Guwahati,Seven Sisters,East
81,2011,Embedded system engineer,ECE,Dehradun,Uttarakhand,North
82,2019,Material engineer,CHEM,Patna,Bihar,Central
83,2021,Quality engineer,MEC,Aizawal,Seven Sisters,East
84,2018,Transportation engineer,CIV,Shimla,Himachal Pradesh,North
85,2011,Network planning engineer,ECE,Kanpur,Uttar Pradesh,North
86,2016,App developer,CSE/IT,Silchar,Seven Sisters,East
87,2012,System architect,CSE/IT,Jammu,Jammu and Kashmir,North
88,2020,Process safety engineer,CHEM,Aizawal,Seven Sisters,East
89,2011,Land surveyor,CIV,Surat,Gujarat,West
90,2012,Construction engineer,MEC,Imphal,Seven Sisters,East
91,2019,Field test engineer,ECE,Jodhpur,Rajasthan,West
92,2015,Product designer,MEC,Dehradun,Uttarakhand,North
93,2014,Public health engineer,CIV,Imphal,Seven Sisters,East
94,2017,Engineering management,CIV,Gurgaon,Haryana,West
95,2014,AI engineer,CSE/IT,Gaya,Bihar,Central
96,2019,Product designer,MEC,Dhanbad,Jharkhnad,Central
97,2012,Broadcast engineer,EEE,Tirupathi,Andhra Pradesh,South
98,2020,Telecom engineer,ECE,Gurgaon,Haryana,West
99,2021,Process safety engineer,CHEM,Allahabad,Uttar Pradesh,North
100,2016,Environmental engineer,CIV,Jamshedpur,Jharkhnad,Central
101,2018,Computer network architect,CSE/IT,Raigarh,Chattisgarh,Central
102,2018,Product engineer,CHEM,Gaya,Bihar,Central
103,2019,Product designer,MEC,Madurai,Tamil Nadu,South
104,2011,Construction manager,CIV,Madurai,Tamil Nadu,South
105,2020,Construction engineer,MEC,Jaipur,Rajasthan,West
106,2011,Product engineer,CHEM,Mumbai,Maharashtra,Central
107,2020,Petroleum engineer,CHEM,Panipat,Haryana,West
108,2011,Environmental engineer,CIV,Roorkee,Uttarakhand,North
109,2019,AI engineer,CSE/IT,Imphal,Seven Sisters,East
110,2021,Instrumentation engineer,ECE,Panipat,Haryana,West
111,2019,Construction manager,CIV,Lucknow,Uttar Pradesh,North
112,2012,AI engineer,CSE/IT,Gwalior,Madhya Pradesh,Central
113,2014,Embedded system engineer,ECE,Kohina,Seven Sisters,East
114,2019,Computer network architect,CSE/IT,Vadodara,Gujarat,West
115,2013,Chemical plant director,CHEM,Mysore,Karnataka,South
116,2017,Instrumentation engineer,ECE,Khammam,Telangana,South
117,2017,Product engineer,CHEM,Panipat,Haryana,West
118,2011,Network planning engineer,ECE,Amritsar,Punjab,North
119,2016,Process safety engineer,CHEM,Mumbai,Maharashtra,Central
120,2011,Product engineer,CHEM,Vadodara,Gujarat,West
121,2013,Software analyst,ECE,Panipat,Haryana,West
122,2018,Telecom engineer,ECE,Lucknow,Uttar Pradesh,North
123,2017,UX designer,CSE/IT,Dehradun,Uttarakhand,North
124,2017,Service engineer,ECE,Amritsar,Punjab,North
125,2018,Land surveyor,CIV,Madurai,Tamil Nadu,South
126,2021,Engineering management,CIV,Roorkee,Uttarakhand,North
127,2015,Database administrator,CSE/IT,Chennai,Tamil Nadu,South
128,2018,Aerospace engineer,MEC,Guwahati,Seven Sisters,East
129,2011,Material engineer,CHEM,Shillong,Seven Sisters,East
130,2014,Process safety engineer,CHEM,Panaji,Goa,South
131,2019,Electrical project manager,EEE,Noida,Uttar Pradesh,North
132,2021,Automation engineer,MEC,Vijayawada,Andhra Pradesh,South
133,2017,Manufacturing engineer,MEC,Ahmedabad,Gujarat,West
134,2013,Electrical engineer,EEE,Dhanbad,Jharkhnad,Central
135,2019,Telecom engineer,ECE,Dharwad,Karnataka,South
136,2011,Microelectrical engineer,EEE,Panaji,Goa,South
137,2013,technician,CHEM,Srinagar,Jammu and Kashmir,North
138,2017,Drafter,CIV,Madurai,Tamil Nadu,South
139,2016,Network planning engineer,ECE,Dehradun,Uttarakhand,North
140,2019,Software developer,CSE/IT,Kolkata,West Bengal,East
141,2015,Management consultant,MEC,Lucknow,Uttar Pradesh,North
142,2011,Production engineer,MEC,Dhanbad,Jharkhnad,Central
143,2013,Electrical engineer,EEE,Bilaspur,Himachal Pradesh,North
144,2014,Software developer,CSE/IT,Amritsar,Punjab,North
145,2016,Software analyst,ECE,Puri,Orissa,Central
146,2015,Drafter,CIV,Tirupathi,Andhra Pradesh,South
147,2017,Environmental engineer,CIV,Jaipur,Rajasthan,West
148,2014,Material engineer,CHEM,Silchar,Seven Sisters,East
149,2013,Material engineer,CHEM,Guwahati,Seven Sisters,East
150,2015,Thermal engineer,MEC,Jamshedpur,Jharkhnad,Central
151,2011,Plant process engineer,CHEM,Jamshedpur,Jharkhnad,Central
152,2015,Management consultant,MEC,Vadodara,Gujarat,West
153,2015,Quality engineer,MEC,Guwahati,Seven Sisters,East
154,2013,Network planning engineer,ECE,Khammam,Telangana,South
155,2019,Architect,CIV,Mumbai,Maharashtra,Central
156,2021,Software analyst,ECE,Durgapur,West Bengal,East
157,2011,Network planning engineer,ECE,Gandhinagar,Gujarat,West
158,2014,Petroleum engineer,CHEM,Shimla,Himachal Pradesh,North
159,2021,Architect,CIV,Dharwad,Karnataka,South
160,2020,Public health engineer,CIV,Bhubaneswar,Orissa,Central
161,2014,Telecom engineer,ECE,Kohina,Seven Sisters,East
162,2013,technician,CHEM,Hyderabad,Telangana,South
163,2011,Embedded system engineer,ECE,Gurgaon,Haryana,West
164,2013,Network planning engineer,ECE,Madurai,Tamil Nadu,South
165,2012,Land surveyor,CIV,Aizawal,Seven Sisters,East
166,2015,Drafter,CIV,Imphal,Seven Sisters,East
167,2017,Electronics engineer,ECE,Roorkee,Uttarakhand,North
168,2015,Electrical engineer,EEE,Thiruvananthapuram,Kerala,South
169,2014,Product designer,MEC,Gurgaon,Haryana,West
170,2015,Service engineer,ECE,Raigarh,Chattisgarh,Central
171,2015,Electrical project manager,EEE,Hyderabad,Telangana,South
172,2018,Network planning engineer,ECE,Puri,Orissa,Central
173,2016,Petroleum engineer,CHEM,Chandigarh,Punjab,North
174,2013,Aerospace engineer,MEC,Howrah,West Bengal,East
175,2012,Instrumentation engineer,ECE,Raipur,Chattisgarh,Central
176,2016,IT project manager,CSE/IT,Dhanbad,Jharkhnad,Central
177,2015,Process safety engineer,CHEM,Jalandhar,Punjab,North
178,2021,Software analyst,ECE,Bengaluru,Karnataka,South
179,2015,Public health engineer,CIV,Surat,Gujarat,West
180,2012,Chemical engineer,CHEM,Jammu,Jammu and Kashmir,North
181,2015,Electronics engineer,ECE,Chandigarh,Punjab,North
182,2017,Web developer,CSE/IT,Bilaspur,Himachal Pradesh,North
183,2018,Management consultant,MEC,Vadodara,Gujarat,West
184,2018,Engineering management,CIV,Ranchi,Jharkhnad,Central
185,2012,Web developer,CSE/IT,Kohina,Seven Sisters,East
186,2020,Chemical plant director,CHEM,Imphal,Seven Sisters,East
187,2018,Material engineer,CHEM,Noida,Uttar Pradesh,North
188,2018,Public health engineer,CIV,Raigarh,Chattisgarh,Central
189,2019,Embedded system engineer,ECE,Mumbai,Maharashtra,Central
190,2020,Engineering management,CIV,Allahabad,Uttar Pradesh,North
191,2011,Engineering management,CIV,Raigarh,Chattisgarh,Central
192,2018,Drafter,CIV,Pune,Maharashtra,Central
193,2015,Geotechnical engineer,CIV,Vellore,Tamil Nadu,South
194,2015,Electronics engineer,ECE,Jodhpur,Rajasthan,West
195,2021,Geotechnical engineer,CIV,Nagpur,Maharashtra,Central
196,2013,App developer,CSE/IT,Udaipur,Rajasthan,West
197,2015,Network planning engineer,ECE,Jammu,Jammu and Kashmir,North
198,2013,Electronics design engineer,ECE,Puri,Orissa,Central
199,2019,Controls engineer,EEE,Jalandhar,Punjab,North
200,2021,Quality engineer,MEC,Vellore,Tamil Nadu,South
201,2012,Chemical plant director,CHEM,Surat,Gujarat,West
202,2013,Thermal engineer,MEC,Chandigarh,Punjab,North
203,2021,App developer,CSE/IT,Chandigarh,Punjab,North
204,2015,Urban planning engineer,CIV,Bengaluru,Karnataka,South
205,2021,Electrical project manager,EEE,Allahabad,Uttar Pradesh,North
206,2015,Microelectrical engineer,EEE,Bengaluru,Karnataka,South
207,2014,Communication engineer,ECE,Jaipur,Rajasthan,West
208,2017,Petroleum engineer,CHEM,Shimla,Himachal Pradesh,North
209,2017,Public health engineer,CIV,Kohina,Seven Sisters,East
210,2017,Web developer,CSE/IT,Gandhinagar,Gujarat,West
211,2016,Broadcast engineer,EEE,Visakhapatnam,Andhra Pradesh,South
212,2018,Aerospace engineer,MEC,Dharwad,Karnataka,South
213,2019,Substation technician,EEE,Gangtok,Seven Sisters,East
214,2021,Electrical design engineer,EEE,Panaji,Goa,South
215,2017,Thermal engineer,MEC,Bengaluru,Karnataka,South
216,2015,Public health engineer,CIV,Gangtok,Seven Sisters,East
217,2013,Plant process engineer,CHEM,Patna,Bihar,Central
218,2013,Plant process engineer,CHEM,Warangal,Telangana,South
219,2011,Software analyst,ECE,Kolkata,West Bengal,East
220,2020,Construction manager,CIV,Jalandhar,Punjab,North
221,2018,Structural engineer,MEC,Jammu,Jammu and Kashmir,North
222,2014,Construction manager,CIV,Dhanbad,Jharkhnad,Central
223,2011,Construction engineer,MEC,Vellore,Tamil Nadu,South
224,2011,Service engineer,ECE,Guwahati,Seven Sisters,East
225,2019,Hardware engineer,EEE,Noida,Uttar Pradesh,North
226,2013,Communication engineer,ECE,Itanagar,Seven Sisters,East
227,2021,Service engineer,ECE,Amritsar,Punjab,North
228,2018,Land surveyor,CIV,Udaipur,Rajasthan,West
229,2018,Land surveyor,CIV,Khammam,Telangana,South
230,2021,Manufacturing engineer,MEC,Nellore,Andhra Pradesh,South
231,2016,Product designer,MEC,Allahabad,Uttar Pradesh,North
232,2016,Drafter,CIV,Gangtok,Seven Sisters,East
233,2016,Product engineer,CHEM,Panaji,Goa,South
234,2014,Controls engineer,EEE,Bhopal,Madhya Pradesh,Central
235,2019,Network planning engineer,ECE,Rourkela,Orissa,Central
236,2016,Microelectrical engineer,EEE,Pune,Maharashtra,Central
237,2013,Electrical engineer,EEE,Bengaluru,Karnataka,South
238,2017,Chemical engineer,CHEM,Durgapur,West Bengal,East
239,2011,Management consultant,MEC,Roorkee,Uttarakhand,North
240,2018,Information security analyst,CSE/IT,Srinagar,Jammu and Kashmir,North
241,2021,Urban planning engineer,CIV,Roorkee,Uttarakhand,North
242,2012,App developer,CSE/IT,Imphal,Seven Sisters,East
243,2020,Software analyst,ECE,Kanpur,Uttar Pradesh,North
244,2016,Electrical engineer,EEE,Noida,Uttar Pradesh,North
245,2016,Broadcast engineer,EEE,Vadodara,Gujarat,West
246,2018,Automation engineer,MEC,Bhubaneswar,Orissa,Central
247,2015,Electrical design engineer,EEE,Bhopal,Madhya Pradesh,Central
248,2012,Systems engineer,EEE,Noida,Uttar Pradesh,North
249,2013,Land surveyor,CIV,Itanagar,Seven Sisters,East
250,2014,Controls engineer,EEE,Vijayawada,Andhra Pradesh,South
251,2011,System architect,CSE/IT,Gaya,Bihar,Central
252,2020,Systems engineer,EEE,Jaipur,Rajasthan,West
253,2019,Substation technician,EEE,Chennai,Tamil Nadu,South
254,2020,Electrical project manager,EEE,Hyderabad,Telangana,South
255,2011,Manufacturing engineer,MEC,Shillong,Seven Sisters,East
256,2021,Database administrator,CSE/IT,Raipur,Chattisgarh,Central
257,2013,Environmental waste management,CHEM,Bilaspur,Himachal Pradesh,North
258,2014,Electronics design engineer,ECE,Howrah,West Bengal,East
259,2017,Microelectrical engineer,EEE,Dehradun,Uttarakhand,North
260,2013,Automation engineer,MEC,Panaji,Goa,South
261,2014,Broadcast engineer,EEE,Dharwad,Karnataka,South
262,2020,Hardware engineer,EEE,Vijayawada,Andhra Pradesh,South
263,2019,Engineering management,CIV,Srinagar,Jammu and Kashmir,North
264,2021,Product designer,MEC,Pune,Maharashtra,Central
265,2014,Web developer,CSE/IT,Surat,Gujarat,West
266,2013,Substation technician,EEE,Jamshedpur,Jharkhnad,Central
267,2020,Urban planning engineer,CIV,Shimla,Himachal Pradesh,North
268,2013,Software developer,CSE/IT,Dharwad,Karnataka,South
269,2019,Database administrator,CSE/IT,Howrah,West Bengal,East
270,2021,System architect,CSE/IT,Mumbai,Maharashtra,Central
271,2011,Automation engineer,MEC,Noida,Uttar Pradesh,North
272,2017,Construction engineer,MEC,Silchar,Seven Sisters,East
273,2011,Urban planning engineer,CIV,Kolkata,West Bengal,East
274,2017,Substation technician,EEE,Itanagar,Seven Sisters,East
275,2021,Drafter,CIV,Warangal,Telangana,South
276,2012,Transportation engineer,CIV,Durgapur,West Bengal,East
277,2012,Environmental engineer,CIV,Gaya,Bihar,Central
278,2019,AI engineer,CSE/IT,Kohina,Seven Sisters,East
279,2020,Telecommunication engineer,EEE,Patna,Bihar,Central
280,2020,Database administrator,CSE/IT,Silchar,Seven Sisters,East
281,2016,Hardware engineer,EEE,Aizawal,Seven Sisters,East
282,2013,Quality engineer,MEC,Roorkee,Uttarakhand,North
283,2014,Construction manager,CIV,Gaya,Bihar,Central
284,2017,Structural engineer,MEC,Shillong,Seven Sisters,East
285,2021,App developer,CSE/IT,Chennai,Tamil Nadu,South
286,2016,Information security analyst,CSE/IT,Chandigarh,Punjab,North
287,2012,Chemical plant director,CHEM,Itanagar,Seven Sisters,East
288,2011,Geotechnical engineer,CIV,Hyderabad,Telangana,South
289,2012,Product engineer,CHEM,Kohina,Seven Sisters,East
290,2012,Systems engineer,EEE,Indore,Madhya Pradesh,Central
291,2021,Quality engineer,MEC,Itanagar,Seven Sisters,East
292,2021,technician,CHEM,Gwalior,Madhya Pradesh,Central
293,2012,Communication engineer,ECE,Gaya,Bihar,Central
294,2016,Web developer,CSE/IT,Panipat,Haryana,West
295,2014,Transportation engineer,CIV,Guwahati,Seven Sisters,East
296,2014,Environmental engineer,CIV,Amritsar,Punjab,North
297,2020,Production engineer,MEC,Dharwad,Karnataka,South
298,2014,Process safety engineer,CHEM,Gandhinagar,Gujarat,West
299,2014,Computer network architect,CSE/IT,Bhopal,Madhya Pradesh,Central
300,2017,Information security analyst,CSE/IT,Jalandhar,Punjab,North
301,2021,Electronics engineer,ECE,Madurai,Tamil Nadu,South
302,2018,Product designer,MEC,Hyderabad,Telangana,South
303,2011,Chemical engineer,CHEM,Raipur,Chattisgarh,Central
304,2011,Systems engineer,EEE,Aizawal,Seven Sisters,East
305,2018,Drafter,CIV,Gandhinagar,Gujarat,West
306,2018,Environmental engineer,CIV,Hyderabad,Telangana,South
307,2013,UX designer,CSE/IT,Pune,Maharashtra,Central
308,2019,Telecommunication engineer,EEE,Jaipur,Rajasthan,West
309,2011,Substation technician,EEE,Allahabad,Uttar Pradesh,North
310,2021,Process design engineer,CHEM,Gaya,Bihar,Central
311,2014,Broadcast engineer,EEE,Thiruvananthapuram,Kerala,South
312,2012,System architect,CSE/IT,Gwalior,Madhya Pradesh,Central
313,2013,Thermal engineer,MEC,Jalandhar,Punjab,North
314,2012,Field test engineer,ECE,Kochi,Kerala,South
315,2011,Drafter,CIV,Nellore,Andhra Pradesh,South
316,2015,Material engineer,CHEM,Gaya,Bihar,Central
317,2018,Embedded system engineer,ECE,Nagpur,Maharashtra,Central
318,2012,System architect,CSE/IT,Pune,Maharashtra,Central
319,2013,Software analyst,ECE,Raigarh,Chattisgarh,Central
320,2021,Urban planning engineer,CIV,Durgapur,West Bengal,East
321,2012,Product engineer,CHEM,Haridwar,Uttarakhand,North
322,2019,Electronics design engineer,ECE,Ranchi,Jharkhnad,Central
323,2017,Product designer,MEC,Jaipur,Rajasthan,West
324,2012,Hardware engineer,EEE,Chandigarh,Punjab,North
325,2020,Engineering management,CIV,Kohina,Seven Sisters,East
326,2019,Construction manager,CIV,Chandigarh,Punjab,North
327,2017,Computer network architect,CSE/IT,Panipat,Haryana,West
328,2015,Instrumentation engineer,ECE,Imphal,Seven Sisters,East
329,2019,Plant process engineer,CHEM,Mumbai,Maharashtra,Central
330,2014,Controls engineer,EEE,Silchar,Seven Sisters,East
331,2013,Telecommunication engineer,EEE,Bhopal,Madhya Pradesh,Central
332,2016,Web developer,CSE/IT,Pune,Maharashtra,Central
333,2012,Broadcast engineer,EEE,Bhubaneswar,Orissa,Central
334,2011,Construction engineer,MEC,Patna,Bihar,Central
335,2018,Telecommunication engineer,EEE,Warangal,Telangana,South
336,2020,Telecom engineer,ECE,Gandhinagar,Gujarat,West
337,2015,Plant process engineer,CHEM,Kanpur,Uttar Pradesh,North
338,2012,Telecommunication engineer,EEE,Srinagar,Jammu and Kashmir,North
339,2011,Software analyst,ECE,Guwahati,Seven Sisters,East
340,2011,Telecom engineer,ECE,Jodhpur,Rajasthan,West
341,2011,Product designer,MEC,Haridwar,Uttarakhand,North
342,2021,Petroleum engineer,CHEM,Dharwad,Karnataka,South
343,2011,System architect,CSE/IT,Jalandhar,Punjab,North
344,2020,Electrical design engineer,EEE,Shimla,Himachal Pradesh,North
345,2015,Computer network architect,CSE/IT,Kanpur,Uttar Pradesh,North
346,2015,IT project manager,CSE/IT,Guwahati,Seven Sisters,East
347,2012,Thermal engineer,MEC,Raigarh,Chattisgarh,Central
348,2019,Land surveyor,CIV,Panipat,Haryana,West
349,2020,Communication engineer,ECE,Ranchi,Jharkhnad,Central
350,2012,Telecom engineer,ECE,Haridwar,Uttarakhand,North
351,2018,Petroleum engineer,CHEM,Rourkela,Orissa,Central
352,2015,AI engineer,CSE/IT,Kolkata,West Bengal,East
353,2015,Environmental waste management,CHEM,Srinagar,Jammu and Kashmir,North
354,2016,Automation engineer,MEC,Vijayawada,Andhra Pradesh,South
355,2017,Telecom engineer,ECE,Jalandhar,Punjab,North
356,2020,Transportation engineer,CIV,Thiruvananthapuram,Kerala,South
357,2012,Electrical engineer,EEE,Vellore,Tamil Nadu,South
358,2019,UX designer,CSE/IT,Bhopal,Madhya Pradesh,Central
359,2019,Process safety engineer,CHEM,Bilaspur,Himachal Pradesh,North
360,2016,Embedded system engineer,ECE,Kochi,Kerala,South
361,2021,Manufacturing engineer,MEC,Gaya,Bihar,Central
362,2017,Thermal engineer,MEC,Bhubaneswar,Orissa,Central
363,2021,Structural engineer,MEC,Howrah,West Bengal,East
364,2011,Public health engineer,CIV,Bengaluru,Karnataka,South
365,2021,Network planning engineer,ECE,Gaya,Bihar,Central
366,2017,Database administrator,CSE/IT,Panipat,Haryana,West
367,2021,Software analyst,ECE,Udaipur,Rajasthan,West
368,2016,technician,CHEM,Srinagar,Jammu and Kashmir,North
369,2019,Instrumentation engineer,ECE,Jodhpur,Rajasthan,West
370,2018,Architect,CIV,Mumbai,Maharashtra,Central
371,2021,Environmental engineer,CIV,Haridwar,Uttarakhand,North
372,2021,Electrical engineer,EEE,Nellore,Andhra Pradesh,South
373,2015,Embedded system engineer,ECE,Panipat,Haryana,West
374,2011,Production engineer,MEC,Jalandhar,Punjab,North
375,2011,Process safety engineer,CHEM,Kohina,Seven Sisters,East
376,2018,Instrumentation engineer,ECE,Rourkela,Orissa,Central
377,2011,Substation technician,EEE,Rourkela,Orissa,Central
378,2016,Construction manager,CIV,Mumbai,Maharashtra,Central
379,2012,Field test engineer,ECE,Allahabad,Uttar Pradesh,North
380,2016,Public health engineer,CIV,Nellore,Andhra Pradesh,South
381,2013,Service engineer,ECE,Imphal,Seven Sisters,East
382,2017,Systems engineer,EEE,Itanagar,Seven Sisters,East
383,2013,Microelectrical engineer,EEE,Nellore,Andhra Pradesh,South
384,2019,System architect,CSE/IT,Shillong,Seven Sisters,East
385,2018,Service engineer,ECE,Gaya,Bihar,Central
386,2015,Service engineer,ECE,Itanagar,Seven Sisters,East
387,2018,Material engineer,CHEM,Kochi,Kerala,South
388,2021,IT project manager,CSE/IT,Pune,Maharashtra,Central
389,2015,Environmental waste management,CHEM,Ranchi,Jharkhnad,Central
390,2019,Instrumentation engineer,ECE,Gangtok,Seven Sisters,East
391,2015,Product designer,MEC,Roorkee,Uttarakhand,North
392,2015,Controls engineer,EEE,Gandhinagar,Gujarat,West
393,2013,Geotechnical engineer,CIV,Rourkela,Orissa,Central
394,2016,Process safety engineer,CHEM,Gandhinagar,Gujarat,West
395,2020,Electronics engineer,ECE,Vadodara,Gujarat,West
396,2020,Manufacturing engineer,MEC,Noida,Uttar Pradesh,North
397,2018,Software analyst,ECE,Thiruvananthapuram,Kerala,South
398,2016,Plant process engineer,CHEM,Haridwar,Uttarakhand,North
399,2019,Information security analyst,CSE/IT,Nellore,Andhra Pradesh,South
400,2020,Product engineer,CHEM,Srinagar,Jammu and Kashmir,North
401,2012,Environmental engineer,CIV,Gurgaon,Haryana,West
402,2015,Embedded system engineer,ECE,Bilaspur,Himachal Pradesh,North
403,2011,Electrical project manager,EEE,Aizawal,Seven Sisters,East
404,2020,Automation engineer,MEC,Bilaspur,Himachal Pradesh,North
405,2019,IT project manager,CSE/IT,Aizawal,Seven Sisters,East
406,2015,Computer network architect,CSE/IT,Bengaluru,Karnataka,South
407,2021,Architect,CIV,Vadodara,Gujarat,West
408,2011,Material engineer,CHEM,Allahabad,Uttar Pradesh,North
409,2015,Thermal engineer,MEC,Silchar,Seven Sisters,East
410,2014,Database administrator,CSE/IT,Kochi,Kerala,South
411,2019,Environmental waste management,CHEM,Raigarh,Chattisgarh,Central
412,2014,Aerospace engineer,MEC,Jamshedpur,Jharkhnad,Central
413,2014,Thermal engineer,MEC,Gwalior,Madhya Pradesh,Central
414,2012,Plant process engineer,CHEM,Thiruvananthapuram,Kerala,South
415,2015,Communication engineer,ECE,Pune,Maharashtra,Central
416,2017,Broadcast engineer,EEE,Bilaspur,Himachal Pradesh,North
417,2014,Electrical design engineer,EEE,Jammu,Jammu and Kashmir,North
418,2013,Petroleum engineer,CHEM,Dispur,Seven Sisters,East
419,2018,Network planning engineer,ECE,Bhubaneswar,Orissa,Central
420,2014,Information security analyst,CSE/IT,Khammam,Telangana,South
421,2011,Transportation engineer,CIV,Amritsar,Punjab,North
422,2018,Hardware engineer,EEE,Pune,Maharashtra,Central
423,2020,Computer network architect,CSE/IT,Kolkata,West Bengal,East
424,2015,Controls engineer,EEE,Ranchi,Jharkhnad,Central
425,2015,Hardware engineer,EEE,Udaipur,Rajasthan,West
426,2018,Land surveyor,CIV,Nellore,Andhra Pradesh,South
427,2019,Database administrator,CSE/IT,Shillong,Seven Sisters,East
428,2017,Network planning engineer,ECE,Patna,Bihar,Central
429,2016,Construction engineer,MEC,Udaipur,Rajasthan,West
